BLD_DESC_RV_MODEL,cluster,emb_x,emb_y,BLD_AGE_GRP,DEMO_EDUCATION,GENERATION_GRP,DEMO_GENDER1,BLD_HOBBY1_GRP,DEMO_INCOME,BLD_LIFESTAGE,DEMO_LOCATION,DEMO_MARITAL,DEMO_EMPLOY,ADMARK_STATE,BLD_CHILDREN,DEMO_EMPTY_NESTER
Wrangler,1,-2.579815522,8.87070397,8,11,2,2,NA,10,7,1,3,23,21,1,2
Wrangler,2,0.510544765,-2.615808814,12,13,4,1,11,14,6,3,1,3,13,0,1
Wrangler,2,2.114899014,1.652530345,12,11,4,2,7,12,10,2,2,10,20,0,1
Wrangler,2,0.834516305,-1.614341311,9,11,2,1,6,32,5,2,1,3,4,0,2
Wrangler,2,1.941119047,0.762930186,8,14,2,2,NA,20,NA,NA,NA,NA,41,NA,NA
Wrangler,2,0.902295927,0.363826115,6,13,1,2,NA,16,NA,NA,NA,NA,34,NA,NA
Wrangler,2,2.167147815,1.477077389,7,16,1,1,1,26,10,3,2,3,23,0,1
Wrangler,2,1.757634275,0.533444192,10,12,3,1,NA,28,NA,NA,NA,NA,34,NA,NA
Wrangler,2,-3.969287825,-3.541618881,13,13,4,1,NA,16,NA,NA,NA,NA,32,NA,NA
Wrangler,2,2.312230953,1.678907477,5,16,1,1,2,14,1,1,1,5,9,2,2
Wrangler,2,1.247287316,-0.475434116,11,14,3,1,NA,26,NA,NA,NA,NA,31,NA,NA
Wrangler,2,0.926328476,-2.2193164,10,16,3,1,NA,27,NA,NA,NA,NA,3,NA,NA
Wrangler,2,1.008752545,-0.566360154,10,11,3,1,11,30,6,2,1,3,5,0,1
Wrangler,2,-2.994925905,-3.430516593,9,11,2,2,4,30,5,2,1,5,32,0,2
Land Cruiser Hybrid,2,0.70053666,-2.150080267,7,11,2,1,3,23,2,3,1,12,19,1,2
Land Cruiser Hybrid,2,1.024513851,-2.619654818,10,16,3,1,2,15,6,2,1,8,12,0,2
GX550,2,2.542806013,-1.10763736,10,16,2,2,1,32,6,2,1,22,42,0,1
Land Cruiser Hybrid,2,0.756632811,-2.638386577,7,16,2,1,NA,20,NA,NA,NA,NA,4,NA,NA
Land Cruiser Hybrid,2,-4.303819681,-3.033392073,7,15,1,2,NA,23,NA,NA,NA,NA,37,NA,NA
GX550,2,-3.325729902,-3.280149297,5,15,1,1,1,28,1,2,1,3,4,2,2
4Runner,2,-4.122896402,-3.714495697,11,16,4,1,6,13,6,4,1,22,21,0,2
GX550,2,2.958273195,1.052924719,13,12,4,2,NA,NA,6,NA,1,NA,17,0,2
Land Cruiser Hybrid,2,1.115340679,-2.595742048,9,14,2,2,NA,16,NA,NA,NA,NA,20,NA,NA
4Runner,2,1.264996376,-1.567874306,7,14,1,1,7,13,2,3,1,3,21,3,2
GX550,2,2.595914117,-1.852489216,8,15,2,2,NA,23,NA,NA,NA,NA,41,NA,NA
GX550,2,3.237404743,0.825719675,13,11,5,1,NA,20,NA,NA,NA,NA,4,NA,NA
Land Cruiser Hybrid,2,0.853326742,-2.703584051,5,11,1,1,NA,32,NA,NA,NA,NA,42,NA,NA
Land Cruiser Hybrid,1,-2.820889892,9.037400665,5,13,1,1,1,15,1,2,1,11,4,1,2
4Runner,2,2.435034857,0.959301349,13,13,4,2,NA,27,NA,NA,NA,NA,41,NA,NA
Land Cruiser Hybrid,2,2.952973225,0.578263855,5,11,1,1,5,16,1,2,1,12,30,1,2
GX550,2,-3.497444051,-3.283346345,9,16,2,2,7,32,2,2,1,3,42,1,2
Land Cruiser Hybrid,2,2.864382452,0.415686562,9,11,2,1,NA,13,NA,NA,NA,NA,4,NA,NA
GX550,2,3.495168945,0.506184137,7,11,1,1,3,23,5,1,1,11,13,0,2
Land Cruiser Hybrid,2,2.649336311,0.39933403,11,12,4,2,1,11,10,3,3,22,47,0,1
GX550,2,3.294067612,0.402497171,11,16,3,1,7,29,6,4,1,2,20,0,2
4Runner,1,-2.835648726,9.166403777,8,11,2,1,2,29,10,1,4,23,32,0,2
4Runner,1,-2.769573001,9.322250961,6,11,1,1,NA,10,NA,NA,NA,NA,9,NA,NA
GX550,2,2.333625113,-1.963375729,5,11,1,2,NA,23,NA,NA,NA,NA,15,NA,NA
Land Cruiser Hybrid,2,2.917751614,0.854733775,12,14,4,1,NA,15,NA,NA,NA,NA,32,NA,NA
Land Cruiser Hybrid,2,2.747925162,0.289480997,7,16,2,2,7,23,5,3,1,2,28,0,2
4Runner,2,2.758769077,1.260682724,10,15,3,2,6,14,6,2,1,9,13,0,1
GX550,2,-2.917675251,-3.719290596,5,16,1,2,4,15,4,2,1,2,42,0,2
Land Cruiser Hybrid,1,-2.836785178,9.166920359,11,11,4,2,6,11,6,3,1,10,4,0,1
GX550,2,2.973528526,0.221527723,8,16,2,2,NA,23,NA,NA,NA,NA,4,NA,NA
4Runner,2,-3.128358214,-3.354669549,11,15,4,2,4,23,6,2,1,20,12,0,1
4Runner,2,2.754304774,0.494886962,11,13,4,2,NA,11,NA,NA,NA,NA,31,NA,NA
GX550,2,-2.740804545,-3.477509837,8,16,2,1,NA,16,NA,NA,NA,NA,4,NA,NA
Land Cruiser Hybrid,2,0.992798445,-0.194064587,8,16,2,1,7,15,5,3,1,4,47,0,1
Land Cruiser Hybrid,2,-2.728528301,-3.233968769,13,12,5,3,NA,20,NA,NA,NA,NA,38,NA,NA
Land Cruiser Hybrid,2,1.295568185,-2.228154004,8,13,2,1,5,28,3,3,1,5,4,1,2
GX550,2,0.616826475,-2.435641841,12,16,4,1,9,30,6,2,1,8,36,0,1
GX550,2,1.977923755,-2.028778643,8,16,2,1,2,30,3,3,1,2,42,1,2
Land Cruiser Hybrid,2,2.368288301,-1.336565103,10,11,2,1,2,23,6,2,1,2,31,0,2
GX550,2,-2.943041742,-3.703135229,5,15,1,1,1,23,2,3,1,11,8,3,2
Land Cruiser Hybrid,2,0.743440098,-1.242991866,6,11,1,1,1,16,2,2,1,12,32,2,2
GX550,2,-4.076106827,-3.661581059,9,16,2,1,1,20,3,2,1,20,4,1,2
GX550,2,2.214836889,-1.74582348,11,16,4,1,NA,28,NA,NA,NA,NA,41,NA,NA
Land Cruiser Hybrid,2,0.835852638,-2.757188916,8,15,2,1,3,16,5,3,1,2,32,0,2
Land Cruiser Hybrid,2,2.965072346,0.375470779,5,11,1,2,NA,27,NA,NA,NA,NA,42,NA,NA
4Runner,2,-3.25881217,-3.549453759,11,16,3,1,11,20,6,3,1,22,4,0,1
GX550,2,1.695921425,-1.855713666,12,12,4,1,11,14,6,2,1,22,5,0,1
Land Cruiser Hybrid,2,3.033504105,-0.153641695,12,15,4,2,NA,11,NA,NA,NA,NA,28,NA,NA
GX550,1,-2.350928135,9.174056081,7,15,2,2,3,14,2,1,1,11,4,2,2
Land Cruiser Hybrid,2,0.781382849,-2.661225098,11,14,4,1,4,20,6,4,1,22,37,0,2
GX550,2,3.308484917,1.166862416,10,16,3,2,NA,13,NA,NA,NA,NA,16,NA,NA
Land Cruiser Hybrid,2,2.695480428,-1.373729749,10,11,3,1,3,23,6,3,1,22,31,0,2
GX550,2,3.453198247,0.532517581,4,11,1,1,NA,29,NA,NA,NA,NA,10,NA,NA
Land Cruiser Hybrid,1,-2.641668447,9.265549986,10,11,2,1,1,15,6,2,1,2,9,0,1
Land Cruiser Hybrid,2,1.88238877,-1.800367372,8,11,2,1,NA,16,NA,NA,NA,NA,36,NA,NA
4Runner,2,0.34573153,-1.870241585,8,13,2,2,NA,28,NA,NA,NA,NA,29,NA,NA
Land Cruiser Hybrid,2,2.87819378,-0.296711809,10,13,3,1,3,16,6,2,1,22,9,0,1
GX550,2,3.493345863,0.965266852,11,11,4,1,7,33,6,2,1,12,26,0,1
4Runner,2,2.282408129,0.804878457,NA,NA,NA,NA,NA,NA,NA,3,1,22,31,0,2
GX550,2,-3.755160085,-1.381439722,11,16,4,2,NA,28,NA,NA,NA,NA,9,NA,NA
GX550,2,2.439377954,-1.413488391,10,16,2,2,11,33,6,2,1,5,24,0,1
GX550,2,3.482333099,0.82017698,10,16,3,2,NA,16,NA,NA,NA,NA,35,NA,NA
Land Cruiser Hybrid,2,0.399179397,-2.685579157,6,16,1,1,4,29,4,3,1,12,47,0,2
4Runner,2,-3.788423145,-1.448727832,11,16,3,1,7,13,6,1,1,2,36,0,1
GX550,2,3.252376695,0.514578835,4,13,6,1,NA,16,NA,NA,NA,NA,34,NA,NA
4Runner,2,1.802060141,-1.905413983,9,11,2,1,NA,31,NA,NA,NA,NA,9,NA,NA
4Runner,1,-2.492121787,9.235960269,9,11,2,2,NA,10,NA,NA,NA,NA,41,NA,NA
4Runner,2,1.616382313,0.356848599,4,13,1,1,7,14,9,3,2,9,8,0,2
GX550,2,3.236346066,0.468830632,9,15,2,2,NA,33,NA,NA,NA,NA,12,NA,NA
GX550,2,3.440471775,0.642574975,10,15,3,2,11,20,6,3,1,22,10,0,1
GX550,2,3.389538366,1.094265684,12,11,4,1,NA,16,6,2,1,22,15,0,1
Land Cruiser Hybrid,1,-2.534106544,9.262971297,7,16,1,2,6,16,2,2,1,12,22,1,2
GX550,2,-4.02032239,-3.221547757,6,11,1,2,11,23,2,3,1,2,29,2,2
Land Cruiser Hybrid,2,2.924424982,-0.174317762,9,16,2,1,1,15,7,3,3,2,47,1,2
GX550,2,-4.340910009,-3.058186016,12,11,4,1,NA,23,NA,NA,NA,NA,21,NA,NA
Land Cruiser Hybrid,2,-3.283624687,-3.681818601,8,13,2,2,2,32,2,3,1,2,5,1,2
Land Cruiser Hybrid,2,-3.185085354,-3.587493127,9,16,2,1,11,29,3,1,1,5,42,1,2
GX550,2,1.761282329,-2.209934054,8,16,2,2,1,14,10,1,2,22,4,0,2
GX550,2,3.169359252,0.349105266,NA,16,NA,1,NA,30,NA,NA,NA,NA,20,NA,NA
4Runner,1,-2.982628685,9.070592423,10,13,2,1,NA,26,10,2,3,22,9,0,2
GX550,1,-2.793358578,9.162813583,11,16,3,2,1,20,10,2,4,22,4,0,2
Land Cruiser Hybrid,2,2.995434941,0.291740163,6,16,1,1,7,15,2,1,1,14,42,1,2
4Runner,2,-4.463316146,-3.71921885,9,13,2,2,3,25,5,3,1,3,20,0,1
GX550,2,3.649055048,0.861198003,9,16,2,2,2,30,5,1,1,22,2,0,1
4Runner,2,2.850894246,0.328379617,11,14,4,2,NA,16,NA,NA,NA,NA,45,NA,NA
Land Cruiser Hybrid,1,-2.518041949,9.296985293,6,16,1,1,1,16,7,1,3,23,24,2,2
4Runner,2,0.734157371,-1.513291935,8,16,2,2,3,14,5,2,1,11,5,0,2
Land Cruiser Hybrid,2,2.234427587,-1.595089473,9,16,2,1,6,16,5,2,1,3,37,0,2
GX550,2,2.496426644,-1.679041614,9,11,2,1,NA,23,NA,NA,NA,NA,42,NA,NA
4Runner,2,1.849657168,-1.956315912,9,15,2,1,NA,25,10,3,3,22,12,0,1
Land Cruiser Hybrid,2,-3.136497454,-3.513707345,10,11,3,1,1,14,6,3,1,22,36,0,1
GX550,2,-2.892485166,-3.678600425,5,11,1,1,NA,28,NA,NA,NA,NA,12,NA,NA
4Runner,2,0.500403577,-2.606312194,10,16,3,1,NA,20,NA,NA,NA,NA,44,NA,NA
4Runner,2,0.392601711,-2.632917488,13,15,4,1,8,10,10,4,3,2,37,0,1
Land Cruiser Hybrid,2,3.167548547,-0.093721734,9,11,2,1,3,20,5,2,1,12,10,0,2
GX550,2,3.332519894,0.353649702,12,15,4,1,7,31,6,3,1,5,9,0,1
4Runner,2,2.487512264,0.648645182,11,13,3,2,NA,13,NA,NA,NA,NA,31,NA,NA
Land Cruiser Hybrid,2,3.008848146,-0.247769792,11,16,3,1,NA,16,NA,NA,NA,NA,20,NA,NA
4Runner,2,0.38102072,-1.796154292,9,13,2,2,NA,12,NA,NA,NA,NA,37,NA,NA
GX550,2,-4.308832543,-3.101359204,8,16,2,2,NA,28,5,1,1,23,10,0,1
Land Cruiser Hybrid,2,2.744807855,-0.398361532,7,15,2,2,NA,33,NA,NA,NA,NA,42,NA,NA
Land Cruiser Hybrid,2,-3.864867008,-3.668988553,11,16,4,2,11,13,6,3,1,23,4,0,1
GX550,2,-4.297769518,-3.263201065,10,11,3,1,3,30,6,1,1,2,41,0,1
GX550,2,1.689476706,-2.308763197,8,11,2,1,5,31,2,2,1,11,43,1,2
Land Cruiser Hybrid,2,1.408686676,-2.015963717,NA,11,NA,1,NA,20,3,2,1,5,45,1,2
GX550,2,1.146360105,-2.227681425,7,11,1,2,NA,20,2,1,1,20,42,2,2
4Runner,2,2.921531153,0.762256194,8,11,2,2,1,20,5,3,1,14,5,0,2
4Runner,2,0.310328331,-1.889022816,6,12,1,2,NA,14,NA,NA,NA,NA,2,NA,NA
Land Cruiser Hybrid,2,2.898962119,-0.170928513,7,14,2,2,7,26,5,3,1,20,37,0,2
GX550,2,3.49922249,0.955264275,13,16,4,1,NA,23,NA,NA,NA,NA,42,NA,NA
Land Cruiser Hybrid,2,2.833524949,-0.486955928,9,11,2,1,7,28,3,3,1,22,37,1,2
4Runner,2,2.94210007,0.18137073,6,16,1,1,NA,13,4,2,1,5,29,0,1
4Runner,2,0.446599875,-1.930454353,8,16,2,2,NA,20,NA,NA,NA,NA,31,NA,NA
GX550,2,3.411511342,0.907705512,12,16,4,1,11,16,6,3,1,12,37,0,1
4Runner,2,0.612258194,-2.582510862,10,15,2,2,3,20,6,3,1,23,24,0,1
GX550,2,2.357883634,-0.187536877,11,11,4,1,11,20,6,2,1,12,41,0,1
Land Cruiser Hybrid,2,3.025390572,0.885692238,12,15,4,1,NA,12,6,3,1,22,41,0,1
Land Cruiser Hybrid,2,2.382229246,-1.218379851,10,16,3,1,7,31,6,3,1,11,45,0,1
GX550,2,3.621308982,0.918445233,12,11,4,2,1,31,6,4,1,11,42,0,1
Land Cruiser Hybrid,2,2.780164261,0.861226312,13,11,4,1,NA,16,NA,NA,NA,NA,25,NA,NA
GX550,2,1.248137743,0.166955067,9,11,2,1,NA,13,NA,NA,NA,NA,31,NA,NA
GX550,2,1.937954955,-2.367604625,9,16,2,1,3,20,5,1,1,5,41,0,1
4Runner,2,0.909775141,-1.023732538,9,16,2,1,7,20,2,2,1,2,34,2,2
GX550,2,0.825143075,-2.150949255,8,16,2,2,NA,28,NA,NA,NA,NA,42,NA,NA
Land Cruiser Hybrid,2,2.378712988,0.139638445,11,11,4,1,7,11,6,3,1,22,48,0,2
GX550,2,2.958083813,1.391799904,7,11,2,1,3,23,5,2,1,12,46,0,2
4Runner,2,0.860741643,-2.440328731,10,11,2,2,7,29,6,3,1,10,6,0,1
GX550,2,3.288968888,0.486309408,9,12,2,1,NA,20,NA,NA,NA,NA,4,NA,NA
GX550,2,3.208840114,0.737152241,6,16,1,1,NA,23,NA,NA,NA,NA,4,NA,NA
GX550,2,2.706621696,-1.798358241,4,16,1,2,NA,15,NA,NA,NA,NA,47,NA,NA
Land Cruiser Hybrid,2,2.838147354,0.87258426,13,14,5,1,NA,27,NA,NA,NA,NA,48,NA,NA
Land Cruiser Hybrid,2,1.096497419,-2.219874335,8,15,2,2,1,28,5,4,1,11,36,0,1
GX550,1,-2.737843622,8.688741996,9,16,2,1,3,28,5,2,1,22,6,0,2
GX550,2,2.016747602,-1.446699406,5,16,1,2,7,31,4,1,1,2,36,0,2
Land Cruiser Hybrid,2,1.953974261,-1.979800899,13,11,4,1,NA,14,NA,NA,NA,NA,45,NA,NA
4Runner,2,-4.241240427,-3.252910429,12,11,4,2,NA,15,NA,NA,NA,NA,31,NA,NA
Land Cruiser Hybrid,2,1.443474266,0.033469988,12,11,4,1,9,31,6,2,1,12,37,0,1
GX550,2,1.973684676,-2.006866736,12,15,4,2,NA,32,NA,NA,NA,NA,10,NA,NA
Land Cruiser Hybrid,2,1.926025354,0.083991847,10,16,3,1,9,12,6,3,1,23,29,0,2
Land Cruiser Hybrid,2,3.044066992,0.535740669,11,14,4,1,NA,14,NA,NA,NA,NA,37,NA,NA
Land Cruiser Hybrid,2,2.939275551,0.394410572,12,11,4,1,11,28,6,3,1,22,45,0,1
4Runner,1,-2.402441589,9.381245916,11,13,3,2,11,27,6,3,1,22,9,0,1
4Runner,2,-4.214457091,-3.666722035,8,16,2,2,NA,25,NA,NA,NA,NA,29,NA,NA
GX550,2,-4.379290703,-3.48446478,9,16,2,1,NA,16,NA,NA,NA,NA,23,NA,NA
GX550,2,2.524952998,-1.769376707,7,13,2,1,3,23,1,2,1,5,4,2,2
GX550,2,-3.671860254,-1.505215998,5,16,1,1,3,23,1,1,1,3,10,1,2
GX550,2,3.46859681,0.170788802,4,16,1,1,5,32,2,2,1,1,3,2,2
Mustang Mach-E,2,-3.317980133,-2.341318108,8,16,2,1,NA,20,3,2,1,14,35,2,2
Mustang Mach-E,2,1.166093709,2.126542129,9,14,2,1,7,13,5,2,1,1,4,0,1
Mustang Mach-E,1,-2.52321534,8.870782665,5,11,1,1,1,28,4,2,1,3,21,0,2
Mustang Mach-E,2,0.028643846,-0.166786812,8,11,2,1,NA,28,NA,NA,NA,NA,42,NA,NA
Mustang Mach-E,2,2.194407582,1.574023353,11,16,4,1,11,31,6,2,1,22,37,0,2
Mustang Mach-E,2,0.743474936,0.982285118,6,16,1,1,NA,16,NA,NA,NA,NA,21,NA,NA
Mustang Mach-E,2,0.668281849,1.432891663,6,11,1,1,9,15,7,2,3,14,42,2,2
Mustang Mach-E,2,1.073814075,1.2294834,12,11,4,1,6,14,6,2,1,22,4,0,1
Mustang Mach-E,2,0.627289194,0.704321336,13,11,5,1,7,15,6,2,1,22,4,0,1
Mustang Mach-E,2,-3.258748626,-2.441176484,7,16,2,1,6,13,1,2,1,23,36,2,2
Mustang Mach-E,2,-4.022244903,-2.717654094,7,16,1,1,NA,29,NA,NA,NA,NA,42,NA,NA
Mustang Mach-E,2,0.646404538,0.654127895,8,14,2,1,NA,16,5,3,1,7,42,0,1
Mustang Mach-E,2,-3.82529681,-2.926467736,6,13,1,1,5,15,3,4,1,7,31,2,2
Model Y,1,-2.383068907,9.203415645,10,15,3,2,3,20,10,2,3,22,9,0,2
Model Y,2,-2.195425824,-0.107745593,8,11,2,2,7,16,3,3,1,2,29,1,2
R1S,2,-1.228081117,-0.381947068,2,16,6,1,4,16,8,2,2,19,34,0,2
Defender 110,2,2.800703959,-0.122831085,9,11,2,2,3,23,5,2,1,20,34,0,2
Model Y,2,-2.161668413,-0.317347443,8,11,2,1,2,20,3,2,1,2,29,1,2
Model Y,2,-2.135309538,-0.111183087,7,11,1,2,NA,16,NA,NA,NA,NA,10,NA,NA
Defender 110,2,-2.820327977,-3.704423024,9,16,2,2,11,23,5,1,1,5,16,0,2
R1S,2,-1.091553459,-0.303656548,6,16,1,2,NA,28,NA,NA,NA,NA,42,NA,NA
Model Y,2,-2.067624058,0.070146229,7,11,2,2,NA,23,NA,NA,NA,NA,32,NA,NA
Model Y,2,-2.97926643,-1.06446248,7,11,1,1,11,23,2,2,1,11,24,3,2
Model Y,2,-3.693996124,-1.388830282,4,16,6,2,11,14,9,2,4,14,29,0,1
Model Y,2,-3.070919961,-1.103230361,8,14,2,1,6,11,5,2,1,5,21,0,1
Defender 110,2,1.572286442,-1.20168267,9,11,2,2,2,23,5,1,1,2,7,0,2
Defender 110,2,1.220697478,-2.576135879,7,11,2,2,NA,23,NA,NA,NA,NA,10,NA,NA
R1S,2,-1.228218815,-0.506784191,7,15,1,2,NA,30,NA,NA,NA,NA,6,NA,NA
R1S,2,-4.335196173,-3.466165296,10,16,3,2,2,23,6,2,1,21,32,0,1
R1S,2,-4.240911535,-2.362840673,8,11,2,1,1,23,5,2,1,5,39,0,2
R1S,1,-2.222154875,9.33882732,4,16,1,1,9,20,9,1,2,14,42,0,2
Model Y,2,-2.145642289,-0.209777277,7,16,1,2,5,14,7,1,4,10,42,1,2
Defender 110,2,1.234997559,0.024791297,10,16,2,1,NA,15,NA,NA,NA,NA,42,NA,NA
Model Y,2,-2.987691232,-1.060514706,4,11,1,2,7,15,9,2,4,12,42,0,2
R1S,1,-2.439052931,8.925360668,6,11,1,1,1,31,1,2,1,2,21,2,2
Model Y,2,-2.045001915,-0.080831084,10,15,3,1,6,27,10,3,3,23,34,0,2
R1S,2,-0.876874824,-0.627606595,12,11,4,2,7,20,6,2,1,22,30,0,1
R1S,2,-1.076443884,-0.71735893,7,16,1,1,2,31,2,2,1,14,5,2,2
R1S,2,-1.243584331,-0.37956385,7,11,2,1,NA,29,NA,NA,NA,NA,2,NA,NA
Model Y,2,-3.714254979,-1.395283979,7,16,1,2,6,12,2,2,1,23,21,3,2
Model Y,2,-2.019447004,0.070348412,6,11,1,2,NA,13,NA,NA,NA,NA,39,NA,NA
Model Y,2,-1.874743556,0.512680453,5,16,1,1,NA,14,4,1,1,15,42,0,2
R1S,2,-3.116596964,-2.669500852,6,11,1,1,9,23,9,2,2,22,42,0,2
Model Y,2,-2.857947713,-0.919337495,7,12,1,1,6,16,2,3,1,13,32,2,2
Model Y,2,-2.929546947,-0.974969869,10,11,3,1,1,16,6,2,1,10,6,0,1
Defender 110,2,2.892520097,0.148783741,11,13,4,2,NA,20,10,4,4,2,9,0,1
Defender 110,2,2.972346896,1.134117333,12,11,4,1,3,31,6,1,1,5,42,0,2
Defender 110,2,3.080964068,0.136191921,8,16,2,2,9,28,5,3,1,22,34,0,2
R1S,2,-0.773281454,0.388607789,4,16,1,1,NA,23,1,2,1,14,29,1,2
R1S,2,-1.314262626,-0.328172065,10,16,2,1,NA,20,NA,NA,NA,NA,10,NA,NA
R1S,2,-0.988841184,-0.708088476,6,11,1,1,7,30,2,2,1,13,5,2,2
Model Y,1,-3.013494923,8.546331645,7,11,2,1,5,31,2,2,1,2,38,2,2
Defender 110,2,1.251262564,-2.621428384,8,16,2,2,NA,32,NA,NA,NA,NA,9,NA,NA
R1S,2,-1.17111041,-0.372320613,6,11,1,2,NA,16,2,2,1,23,22,2,2
Model Y,2,-2.128455707,-0.220966387,13,15,4,2,3,13,10,2,3,12,29,0,1
R1S,2,-4.356890819,-2.70769164,10,16,3,1,8,20,6,2,1,5,45,0,2
Model Y,2,-1.867582841,-0.132293459,4,16,1,2,1,13,7,2,2,12,29,5,2
Model Y,2,-1.911985749,0.483564521,9,16,2,2,NA,14,NA,NA,NA,NA,9,NA,NA
R1S,2,3.189274339,0.868729888,6,11,1,2,NA,31,NA,NA,NA,NA,34,NA,NA
Model Y,2,-2.096192621,0.157499276,5,16,1,1,NA,15,NA,NA,NA,NA,41,NA,NA
Model Y,2,-3.014752746,-0.921916719,6,13,1,1,NA,11,NA,NA,NA,NA,9,NA,NA
Model Y,2,-2.005519047,-0.180127816,11,16,4,1,7,28,6,3,1,22,1,0,1
R1S,2,-4.305670553,-2.740142374,6,16,1,1,8,23,2,1,1,23,9,2,2
Model Y,2,-2.107977784,-0.360781041,8,11,2,1,2,20,3,2,1,3,29,1,2
Model Y,2,-2.122767541,0.00118614,8,11,2,1,6,28,2,3,1,10,6,2,2
Defender 110,2,2.636698841,-0.314925302,8,16,2,1,3,16,10,2,2,2,45,0,2
Model Y,2,-2.137680327,-0.141975382,8,11,2,2,NA,31,NA,NA,NA,NA,1,NA,NA
R1S,2,-1.132231055,-0.547881257,6,16,1,1,2,30,2,2,1,14,42,2,2
Defender 110,2,2.131837486,0.688381447,9,15,2,1,1,13,5,4,1,22,21,0,2
Model Y,2,-1.954827339,0.478753704,13,16,4,2,2,16,6,2,1,22,2,0,1
Model Y,2,-2.980344058,-1.048780086,6,16,1,2,11,12,3,2,1,5,21,2,2
Land Cruiser Hybrid,2,2.79425997,0.238895914,13,16,4,1,11,10,6,2,1,2,9,0,2
Wrangler,2,0.502122571,-2.08772657,13,11,5,1,1,16,6,3,1,22,39,0,2
Wrangler,2,0.92179931,-2.221424971,12,15,4,1,NA,12,NA,NA,NA,NA,9,NA,NA
Wrangler,1,-2.945485857,9.143242749,12,16,4,1,NA,16,6,2,1,22,15,0,1
Wrangler,2,1.60806909,-1.752772337,9,13,2,2,NA,29,NA,NA,NA,NA,29,NA,NA
Wrangler,2,0.908105993,-1.811503498,7,11,1,1,7,23,2,1,1,12,46,2,2
Wrangler,2,1.172038126,0.297693291,9,16,2,2,NA,16,NA,NA,NA,NA,41,NA,NA
Wrangler,2,0.452653636,-2.469901533,9,13,2,1,NA,15,NA,NA,NA,NA,39,NA,NA
Wrangler,2,-4.359295192,-3.520452931,13,13,5,1,7,27,6,3,1,22,32,0,1
Wrangler,2,0.48063882,-2.039765183,9,13,2,1,NA,28,NA,NA,NA,NA,20,NA,NA
Wrangler,2,1.552408051,-1.720489203,10,16,3,2,NA,14,NA,NA,NA,NA,39,NA,NA
Wrangler,2,0.514191756,-1.478366586,11,15,4,1,NA,20,NA,NA,NA,NA,8,NA,NA
Wrangler,2,1.397689641,0.266281104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
Wrangler,2,1.604933797,-1.307182058,9,15,2,1,7,16,5,3,1,5,17,0,2
Wrangler,2,2.301281218,1.208842405,12,15,4,1,NA,20,6,2,1,22,50,0,1
Wrangler,2,2.714693777,1.226152093,13,11,4,1,1,15,6,2,1,22,9,0,1
Wrangler,2,2.784687682,-0.39619054,8,13,2,1,NA,16,NA,NA,NA,NA,17,NA,NA
Wrangler,2,0.466063145,-2.610175902,13,16,4,1,NA,10,NA,NA,NA,NA,42,NA,NA
Wrangler,2,2.703362326,1.438956084,NA,14,NA,1,NA,15,NA,NA,NA,NA,9,NA,NA
Wrangler,2,-3.51567132,-3.368431839,10,12,2,1,1,20,6,3,1,22,32,0,1
Wrangler,2,1.974665417,-0.5006472,10,11,3,1,4,29,6,3,1,22,36,0,1
Wrangler,2,0.426318335,-1.986223072,6,15,1,2,7,13,4,3,1,10,35,0,2
Wrangler,2,2.571944481,0.867765247,13,11,5,1,NA,20,NA,NA,NA,NA,6,NA,NA
Wrangler,2,1.13385679,-0.201390355,8,13,2,1,NA,31,NA,NA,NA,NA,42,NA,NA
Wrangler,1,-2.957495089,8.946576125,10,16,2,1,7,20,6,2,1,22,39,0,1
Wrangler,2,1.4148738,0.587746271,11,13,4,2,NA,13,NA,NA,NA,NA,9,NA,NA
Wrangler,2,0.498904642,-2.012898343,4,11,1,1,7,16,1,2,1,10,42,2,2
Wrangler,2,1.315511808,-0.05248691,9,14,2,1,NA,28,NA,NA,NA,NA,2,NA,NA
Wrangler,2,1.854808497,-1.0607035,10,13,3,1,7,30,6,2,1,3,42,0,1
Wrangler,2,0.996426878,0.28918613,9,13,2,2,NA,14,NA,NA,NA,NA,24,NA,NA
Wrangler,2,0.976737897,0.279312142,9,16,2,2,3,28,5,2,1,2,2,0,2
Wrangler,2,1.434464291,0.13192171,4,13,1,2,3,12,1,4,1,3,3,1,2
Wrangler,2,2.68606867,1.245769984,13,16,4,1,4,16,6,3,1,22,25,0,2
Wrangler,2,0.765786669,-1.094427617,8,16,2,2,NA,13,NA,NA,NA,NA,21,NA,NA
Wrangler,2,0.534795853,-2.386417914,13,11,4,1,NA,16,NA,NA,NA,NA,1,NA,NA
Wrangler,2,1.032356352,-0.00391598,9,15,2,1,NA,11,NA,NA,NA,NA,45,NA,NA
Wrangler,2,-4.460319726,-3.579944033,11,15,4,1,NA,20,NA,NA,NA,NA,42,NA,NA
Wrangler,2,2.017966033,0.970592516,9,13,2,1,NA,11,NA,NA,NA,NA,45,NA,NA
Wrangler,2,-3.836302883,-3.609266359,8,11,2,1,1,29,5,2,1,5,12,0,2
Wrangler,2,1.557943136,-1.562262669,13,11,5,1,4,15,10,3,3,22,9,0,2
Wrangler,2,2.523380961,1.579275314,8,16,2,1,3,29,5,3,1,2,13,0,2
Wrangler,2,-3.640682774,-2.709851907,13,11,4,2,1,16,6,3,1,22,39,0,1
