BLD_DESC_RV_MODEL,cluster,emb_x,emb_y,BLD_AGE_GRP,DEMO_EDUCATION,GENERATION_GRP,DEMO_GENDER1,BLD_HOBBY1_GRP,DEMO_INCOME,BLD_LIFESTAGE,DEMO_LOCATION,DEMO_MARITAL,DEMO_EMPLOY,ADMARK_STATE,BLD_CHILDREN,DEMO_EMPTY_NESTER
Bronco,2,1.498137947,-1.010239092,10,16,3,1,5,28,6,3,1,22,5,0,1
Mustang Mach-E,2,0.528233194,0.454817509,9,16,2,2,6,16,5,1,1,22,4,0,1
Mustang Mach-E,2,1.122458545,2.094327388,13,13,4,1,NA,20,NA,NA,NA,NA,9,NA,NA
Bronco,2,2.551483852,0.342973247,8,12,2,1,4,27,7,3,4,17,4,1,2
Mustang Mach-E,2,0.21272724,0.520370379,5,11,1,1,1,15,9,2,2,11,8,0,2
Mustang Mach-E,2,0.202061679,-0.819606691,9,11,2,2,4,15,5,2,1,12,12,0,2
Mustang Mach-E,2,0.862185413,-1.480349158,7,11,2,1,3,20,2,2,1,12,4,3,2
Mustang Mach-E,1,-2.29734793,9.188452828,7,13,1,1,NA,15,2,3,1,10,44,2,2
Mustang Mach-E,2,0.576369776,1.212728601,12,16,4,1,1,15,10,2,3,22,36,0,1
Bronco,2,1.479472385,-1.415942908,7,16,2,1,1,15,5,2,1,3,42,0,1
Bronco,2,1.454102368,-1.583199171,10,16,2,1,11,28,10,3,4,9,8,0,1
Bronco,2,1.724263563,0.49855049,10,16,2,1,7,30,6,2,1,22,1,0,2
Mustang Mach-E,2,0.42033414,-1.765205976,6,16,1,1,NA,31,NA,NA,NA,NA,12,NA,NA
Bronco,2,2.109106098,0.80367456,10,16,3,1,3,20,6,1,1,3,34,0,1
Mustang Mach-E,2,0.531193815,0.788103875,9,14,2,1,3,16,5,3,1,13,6,0,1
Bronco,2,2.399116058,1.012729004,11,16,4,1,1,28,10,3,3,22,25,0,2
Mustang Mach-E,2,-3.689285262,-1.443459402,6,16,1,2,NA,13,NA,NA,NA,NA,12,NA,NA
Bronco,2,0.964903185,-0.939894233,11,15,4,2,6,12,6,4,1,22,21,0,1
Mustang Mach-E,1,-2.369141511,9.002395877,5,13,1,1,4,14,4,3,1,23,43,0,1
Mustang Mach-E,2,0.866508948,2.236846878,11,16,3,2,3,20,6,2,1,22,4,0,1
Mustang Mach-E,2,-3.283528549,-2.55007867,7,11,2,1,2,10,5,2,1,4,42,0,2
Mustang Mach-E,2,0.976758982,0.99552382,12,11,4,2,NA,20,NA,NA,NA,NA,34,NA,NA
Mustang Mach-E,2,0.025403633,-0.33403171,13,16,5,1,3,12,6,2,1,22,21,0,1
Mustang Mach-E,2,1.011156453,1.767123483,10,11,3,2,NA,13,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,0.946713914,1.565998952,3,16,6,1,2,13,1,3,1,8,2,2,2
Mustang Mach-E,2,-0.031288325,-0.722491708,10,16,3,1,2,29,6,2,1,2,37,0,1
Bronco,2,1.611306597,-1.431762285,12,11,4,1,1,16,6,3,1,11,34,0,1
Mustang Mach-E,2,1.929809579,1.50211856,9,11,2,2,NA,20,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,1.120653242,2.164955918,6,16,1,1,1,13,3,3,1,1,23,1,2
Bronco,2,1.699358287,0.310887062,11,13,4,1,7,10,10,3,3,22,9,0,1
Mustang Mach-E,2,-3.640067162,-1.532636333,3,12,6,2,NA,20,NA,NA,NA,NA,27,NA,NA
Mustang Mach-E,2,0.773464717,0.817742085,6,11,1,1,NA,33,NA,NA,NA,NA,28,NA,NA
Mustang Mach-E,2,0.069940439,0.189380825,8,11,2,1,NA,31,NA,NA,NA,NA,4,NA,NA
Bronco,1,-2.817626123,8.767654962,10,15,2,2,NA,15,NA,NA,NA,NA,8,NA,NA
Bronco,1,-2.782869488,9.222615384,6,11,1,1,1,14,4,2,1,3,39,0,2
Mustang Mach-E,2,1.005283866,1.146316466,NA,16,NA,2,NA,20,NA,NA,NA,NA,9,NA,NA
Bronco,2,1.76263092,0.798058944,9,15,2,1,NA,20,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,2,0.571220375,0.517763572,12,16,4,1,2,23,6,2,1,2,24,0,1
Bronco,2,1.006511224,-0.697461865,9,13,2,1,1,15,3,1,1,3,30,1,2
Bronco,2,1.953631934,-0.857945116,9,11,2,2,NA,28,NA,NA,NA,NA,21,NA,NA
Mustang Mach-E,2,0.996070105,1.487709388,7,11,1,2,1,14,5,3,1,10,16,0,1
Mustang Mach-E,1,-2.973738522,8.710165312,11,16,4,1,NA,26,10,2,3,17,46,0,1
Bronco,2,1.869095501,-0.772040021,13,16,4,1,7,16,6,3,1,22,49,0,2
Mustang Mach-E,2,0.961045915,-1.466009126,12,15,4,2,1,14,6,2,1,22,34,0,1
Mustang Mach-E,2,1.229830388,1.47650814,6,13,1,1,NA,27,9,2,2,9,42,0,2
Mustang Mach-E,2,0.249276852,1.552211601,10,14,3,1,1,14,6,2,1,22,22,0,2
Bronco,2,1.633996145,-1.118066399,12,15,4,1,6,11,6,3,1,22,21,0,1
Bronco,2,0.433232765,-2.194181653,13,13,4,1,NA,15,NA,NA,NA,NA,28,NA,NA
Bronco,2,0.504230195,-0.05153573,3,16,6,2,2,15,8,2,2,3,16,0,2
Bronco,2,1.832211195,-0.622434985,8,16,2,2,NA,NA,NA,NA,NA,NA,4,NA,NA
Bronco,2,-3.945604336,-3.658755392,11,14,4,1,NA,14,NA,NA,NA,NA,29,NA,NA
Mustang Mach-E,2,0.925205011,1.415601178,6,11,1,2,11,16,4,4,1,10,19,0,2
Bronco,2,-4.506344172,-3.562693624,10,16,3,1,2,14,3,3,1,5,15,1,2
Mustang Mach-E,2,0.502975332,1.70927394,9,15,2,1,11,13,10,2,3,9,36,0,2
Bronco,2,1.824410778,-1.185699821,11,15,4,1,2,20,6,2,1,22,48,0,2
Mustang Mach-E,2,-3.329769193,-2.479926321,6,11,1,1,7,30,9,3,4,2,31,0,2
Bronco,2,0.773103172,-1.39412921,11,13,4,1,7,27,6,2,1,22,17,0,1
Mustang Mach-E,1,-2.956624434,8.671811231,7,13,2,2,NA,10,NA,NA,NA,NA,20,NA,NA
Mustang Mach-E,1,-2.951981823,8.649811563,5,16,1,2,NA,12,NA,NA,NA,NA,5,NA,NA
Mustang Mach-E,2,-4.250325679,-2.702551228,12,14,4,1,NA,14,NA,NA,NA,NA,16,NA,NA
Bronco,1,-2.566180443,9.007957201,9,15,2,1,NA,13,NA,NA,NA,NA,22,NA,NA
Mustang Mach-E,2,-3.838360336,-2.599582168,7,11,1,1,1,16,5,2,1,11,19,0,2
Bronco,2,-3.313701549,-2.80101181,8,11,2,2,2,16,3,3,1,5,10,2,2
Mustang Mach-E,2,0.197259891,-0.074063937,10,14,3,2,NA,10,NA,NA,NA,NA,4,NA,NA
Bronco,1,-2.715881022,9.320300351,9,15,2,1,11,10,10,2,3,23,29,0,1
Mustang Mach-E,2,0.456768744,0.600933476,9,13,2,1,1,16,5,2,1,9,21,0,1
Mustang Mach-E,2,-0.092173955,0.335035086,7,11,1,1,NA,16,NA,NA,NA,NA,13,NA,NA
Bronco,2,1.160891204,-1.401914976,7,16,2,1,NA,28,NA,NA,NA,NA,12,NA,NA
Mustang Mach-E,1,-3.046145541,8.695889397,9,11,2,2,3,13,10,2,3,13,4,0,1
Mustang Mach-E,2,0.832360465,2.196377658,12,11,4,2,7,13,6,2,1,5,5,0,1
Bronco,2,-3.248268104,-3.202804123,7,16,2,1,3,20,10,2,3,5,21,0,2
Bronco,2,1.649235783,-0.73991954,NA,NA,NA,NA,11,NA,1,2,1,14,8,4,2
Mustang Mach-E,2,-3.011437192,-2.455289319,2,13,6,1,5,27,8,4,2,23,4,0,2
Mustang Mach-E,2,0.977751596,2.293053212,12,11,4,2,11,13,6,4,1,10,21,0,1
Mustang Mach-E,1,-2.215044167,9.182165246,11,16,4,1,4,28,6,2,1,5,21,0,1
Mustang Mach-E,2,0.782305069,1.067131702,11,16,4,2,NA,14,NA,NA,NA,NA,4,NA,NA
Bronco,2,1.508294511,-1.527918728,11,14,4,1,1,14,6,4,1,14,13,0,1
Bronco,2,1.284957022,-1.106478802,7,15,2,1,1,14,5,2,1,18,21,0,2
Bronco,2,1.68698091,-1.200187647,11,16,4,1,3,13,6,2,1,11,21,0,1
Bronco,2,2.122328328,1.199100158,11,13,3,1,6,16,6,3,1,22,17,0,1
Bronco,1,-2.502696118,9.289794952,8,13,2,2,9,13,10,3,3,9,46,0,1
Mustang Mach-E,2,-0.125290374,-0.181749959,10,16,3,1,1,13,6,3,1,22,42,0,1
Mustang Mach-E,2,2.303361072,1.56879369,10,15,2,2,NA,16,NA,NA,NA,NA,4,NA,NA
Bronco,2,1.709489567,0.999947877,11,13,3,2,NA,20,NA,NA,NA,NA,9,NA,NA
Bronco,2,2.423768929,0.197448612,7,16,2,1,4,23,3,2,1,2,29,1,2
Mustang Mach-E,2,-3.700922691,-2.791179694,13,11,5,1,6,28,6,2,1,22,9,0,1
Bronco,2,2.094575244,-0.662183898,12,13,4,1,NA,11,NA,NA,NA,NA,9,NA,NA
Mustang Mach-E,2,-3.205331414,-2.498482271,7,11,1,1,NA,15,5,3,1,1,45,0,2
Bronco,2,0.58050378,-1.940274121,4,16,6,2,1,11,4,3,1,5,34,0,1
Bronco,2,1.665580265,-1.122235504,13,15,4,1,9,11,10,2,3,22,21,0,1
Bronco,2,2.802365543,1.370545504,10,16,3,2,6,15,6,3,1,3,42,0,1
Mustang Mach-E,2,1.019374178,1.192111884,8,14,2,2,2,27,10,2,2,6,42,0,1
Bronco,2,-3.058248726,-3.129095216,5,13,1,2,1,10,9,4,2,4,37,0,2
Mustang Mach-E,2,0.370454064,0.205776961,3,16,6,1,NA,10,NA,NA,NA,NA,39,NA,NA
Mustang Mach-E,2,0.958700189,2.24942976,9,15,2,2,NA,20,NA,NA,NA,NA,29,NA,NA
Bronco,2,-3.421436326,-3.427188257,9,11,2,1,1,28,3,3,1,3,20,2,2
Bronco,2,-4.111981874,-3.271710587,9,13,2,2,1,20,5,3,1,22,36,0,2
Mustang Mach-E,2,-0.108934047,0.743852117,8,11,2,1,NA,29,NA,NA,NA,NA,45,NA,NA
Mustang Mach-E,2,0.918752361,2.089979782,8,11,2,1,9,28,5,2,1,10,31,0,2
Mustang Mach-E,2,-0.051797298,0.944117925,8,16,2,1,1,28,2,3,1,3,9,2,2
Bronco,2,-3.660189152,-3.469667087,11,16,3,1,NA,16,6,2,1,22,21,0,1
Mustang Mach-E,2,0.259527202,-0.139745405,10,11,2,1,NA,14,NA,NA,NA,NA,4,NA,NA
Mustang Mach-E,1,-2.256790006,9.375368603,12,15,4,1,9,20,6,2,1,22,37,0,1
Mustang Mach-E,2,-0.032042462,-0.807021545,5,16,1,2,1,23,4,2,1,11,39,0,2
Mustang Mach-E,2,1.061309205,1.685596202,8,16,2,2,NA,31,NA,NA,NA,NA,6,NA,NA
Mustang Mach-E,2,1.024286923,2.247821086,11,16,3,2,3,13,6,2,1,12,4,0,1
Mustang Mach-E,2,1.003630628,1.794849169,5,11,1,2,7,30,2,2,1,12,24,2,2
Mustang Mach-E,2,0.569621958,-0.554483588,7,11,1,1,6,29,10,3,2,11,4,0,2
Bronco,2,-2.911746551,-3.556928541,3,13,6,1,3,27,8,2,2,17,42,0,2
Wrangler,2,0.709403442,-1.712731711,7,13,1,1,7,20,2,3,1,5,28,2,2
Wrangler,2,2.383272274,1.296909113,9,15,2,2,NA,28,NA,NA,NA,NA,47,NA,NA
Wrangler,2,2.153917243,1.277586102,8,13,2,1,2,20,5,3,1,23,16,0,1
Wrangler,2,1.049086542,-1.260086854,10,12,3,2,NA,25,NA,NA,NA,NA,6,NA,NA
Wrangler,2,2.288093902,1.389436942,9,15,2,2,NA,20,NA,NA,NA,NA,16,NA,NA
Wrangler,2,-4.041869234,-3.234667432,8,11,2,1,NA,23,NA,NA,NA,NA,4,NA,NA
Wrangler,2,2.611746436,-0.392499031,10,13,3,2,NA,11,NA,NA,NA,NA,9,NA,NA
Wrangler,2,-3.672874941,-3.111711569,3,13,6,2,9,26,7,2,2,15,46,1,2
Wrangler,2,1.458497821,-1.372563136,NA,13,NA,NA,NA,20,NA,NA,NA,NA,17,NA,NA
Wrangler,2,2.431369785,1.298411186,8,16,2,2,NA,28,NA,NA,NA,NA,24,NA,NA
Wrangler,2,2.123376989,0.925305547,7,13,2,2,7,10,5,3,1,3,25,0,1
Wrangler,1,-2.818859456,9.153353725,13,16,4,1,3,25,10,3,3,22,24,0,1
Wrangler,2,0.540459615,-1.639388325,6,16,1,2,NA,28,NA,NA,NA,NA,10,NA,NA
Wrangler,2,1.33808076,-1.67610625,NA,11,NA,1,NA,14,NA,NA,NA,NA,17,NA,NA
Wrangler,2,1.29271599,-0.656877942,10,16,3,1,NA,28,NA,NA,NA,NA,2,NA,NA
Wrangler,2,2.165162737,-0.598132199,6,16,1,2,1,32,1,2,1,20,41,4,2
Wrangler,2,1.705335523,-1.33471009,5,11,1,1,6,20,4,2,1,23,9,0,2
Wrangler,2,1.210824834,-2.031805933,10,14,3,1,NA,16,NA,NA,NA,NA,48,NA,NA
Wrangler,2,2.394396354,1.364607621,7,13,2,1,NA,24,NA,NA,NA,NA,39,NA,NA
Wrangler,2,1.769660075,-1.225284484,8,13,2,2,1,16,5,2,1,22,9,0,2
Wrangler,2,0.506316443,-1.904723977,8,16,2,2,NA,10,NA,NA,NA,NA,29,NA,NA
Wrangler,2,0.56978644,-2.243299458,12,16,4,2,NA,29,NA,NA,NA,NA,6,NA,NA
Wrangler,2,1.691631688,0.302531387,6,11,1,2,NA,13,NA,NA,NA,NA,42,NA,NA
Wrangler,2,1.75207592,0.477191276,7,11,1,1,7,20,10,3,4,23,9,0,2
Wrangler,2,1.721700378,-0.36808979,12,13,4,1,NA,20,NA,NA,NA,NA,28,NA,NA
